Industry Sector,Year,Total Population,CIP2
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,3063,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,1450,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,57,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,478,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,163,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,817,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,279,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,198,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,158,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,125,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,1132,Visual & Performing Arts
Construction,2020,43473,Visual & Performing Arts
Manufacturing,2020,834,Visual & Performing Arts
Manufacturing,2020,805,Visual & Performing Arts
Manufacturing,2020,399,Visual & Performing Arts
Manufacturing,2020,667,Visual & Performing Arts
Manufacturing,2020,2337,Visual & Performing Arts
Manufacturing,2020,1675,Visual & Performing Arts
Manufacturing,2020,886,Visual & Performing Arts
Manufacturing,2020,1336,Visual & Performing Arts
Manufacturing,2020,258,Visual & Performing Arts
Manufacturing,2020,4305,Visual & Performing Arts
Manufacturing,2020,67,Visual & Performing Arts
Manufacturing,2020,1732,Visual & Performing Arts
Manufacturing,2020,287,Visual & Performing Arts
Manufacturing,2020,525,Visual & Performing Arts
Manufacturing,2020,1242,Visual & Performing Arts
Manufacturing,2020,9249,Visual & Performing Arts
Manufacturing,2020,987,Visual & Performing Arts
Manufacturing,2020,270,Visual & Performing Arts
Manufacturing,2020,214,Visual & Performing Arts
Manufacturing,2020,379,Visual & Performing Arts
Manufacturing,2020,169,Visual & Performing Arts
Manufacturing,2020,81,Visual & Performing Arts
Manufacturing,2020,1460,Visual & Performing Arts
Manufacturing,2020,1050,Visual & Performing Arts
Manufacturing,2020,644,Visual & Performing Arts
Manufacturing,2020,1081,Visual & Performing Arts
Manufacturing,2020,16281,Visual & Performing Arts
Manufacturing,2020,855,Visual & Performing Arts
Manufacturing,2020,800,Visual & Performing Arts
Manufacturing,2020,76,Visual & Performing Arts
Manufacturing,2020,5086,Visual & Performing Arts
Manufacturing,2020,727,Visual & Performing Arts
Manufacturing,2020,2081,Visual & Performing Arts
Manufacturing,2020,1810,Visual & Performing Arts
Manufacturing,2020,2556,Visual & Performing Arts
Manufacturing,2020,174,Visual & Performing Arts
Manufacturing,2020,374,Visual & Performing Arts
Manufacturing,2020,1028,Visual & Performing Arts
Manufacturing,2020,407,Visual & Performing Arts
Manufacturing,2020,1003,Visual & Performing Arts
Manufacturing,2020,472,Visual & Performing Arts
Manufacturing,2020,541,Visual & Performing Arts
Manufacturing,2020,280,Visual & Performing Arts
Manufacturing,2020,88,Visual & Performing Arts
Manufacturing,2020,440,Visual & Performing Arts
Manufacturing,2020,1079,Visual & Performing Arts
Manufacturing,2020,126,Visual & Performing Arts
Manufacturing,2020,464,Visual & Performing Arts
Manufacturing,2020,1233,Visual & Performing Arts
Manufacturing,2020,459,Visual & Performing Arts
Manufacturing,2020,326,Visual & Performing Arts
Manufacturing,2020,1545,Visual & Performing Arts
Manufacturing,2020,2506,Visual & Performing Arts
Manufacturing,2020,574,Visual & Performing Arts
Manufacturing,2020,685,Visual & Performing Arts
Manufacturing,2020,1165,Visual & Performing Arts
Manufacturing,2020,796,Visual & Performing Arts
Manufacturing,2020,434,Visual & Performing Arts
Manufacturing,2020,4122,Visual & Performing Arts
Manufacturing,2020,1724,Visual & Performing Arts
Manufacturing,2020,2303,Visual & Performing Arts
Manufacturing,2020,2238,Visual & Performing Arts
Manufacturing,2020,8386,Visual & Performing Arts
Manufacturing,2020,598,Visual & Performing Arts
Manufacturing,2020,3542,Visual & Performing Arts
Manufacturing,2020,4443,Visual & Performing Arts
Manufacturing,2020,378,Visual & Performing Arts
Manufacturing,2020,833,Visual & Performing Arts
Manufacturing,2020,459,Visual & Performing Arts
Manufacturing,2020,6724,Visual & Performing Arts
Manufacturing,2020,5902,Visual & Performing Arts
Manufacturing,2020,6667,Visual & Performing Arts
Manufacturing,2020,4148,Visual & Performing Arts
Manufacturing,2020,10808,Visual & Performing Arts
Manufacturing,2020,2762,Visual & Performing Arts
Wholesale Trade,2020,1335,Visual & Performing Arts
Wholesale Trade,2020,3588,Visual & Performing Arts
Wholesale Trade,2020,1679,Visual & Performing Arts
Wholesale Trade,2020,4010,Visual & Performing Arts
Wholesale Trade,2020,516,Visual & Performing Arts
Wholesale Trade,2020,2686,Visual & Performing Arts
Wholesale Trade,2020,1884,Visual & Performing Arts
Wholesale Trade,2020,2874,Visual & Performing Arts
Wholesale Trade,2020,226,Visual & Performing Arts
Wholesale Trade,2020,3181,Visual & Performing Arts
Wholesale Trade,2020,679,Visual & Performing Arts
Wholesale Trade,2020,5423,Visual & Performing Arts
Wholesale Trade,2020,6136,Visual & Performing Arts
Wholesale Trade,2020,172,Visual & Performing Arts
Wholesale Trade,2020,772,Visual & Performing Arts
Wholesale Trade,2020,2586,Visual & Performing Arts
Wholesale Trade,2020,542,Visual & Performing Arts
Wholesale Trade,2020,2597,Visual & Performing Arts
Wholesale Trade,2020,3359,Visual & Performing Arts
Wholesale Trade,2020,1600,Visual & Performing Arts
Wholesale Trade,2020,1023,Visual & Performing Arts
Retail Trade,2020,6013,Visual & Performing Arts
Retail Trade,2020,842,Visual & Performing Arts
Retail Trade,2020,1907,Visual & Performing Arts
Retail Trade,2020,19331,Visual & Performing Arts
Retail Trade,2020,488,Visual & Performing Arts
Retail Trade,2020,8994,Visual & Performing Arts
Retail Trade,2020,1962,Visual & Performing Arts
Retail Trade,2020,12877,Visual & Performing Arts
Retail Trade,2020,1919,Visual & Performing Arts
Retail Trade,2020,20288,Visual & Performing Arts
Retail Trade,2020,1718,Visual & Performing Arts
Retail Trade,2020,2686,Visual & Performing Arts
Retail Trade,2020,2649,Visual & Performing Arts
Retail Trade,2020,6684,Visual & Performing Arts
Retail Trade,2020,7114,Visual & Performing Arts
Retail Trade,2020,1552,Visual & Performing Arts
Retail Trade,2020,30869,Visual & Performing Arts
Retail Trade,2020,2062,Visual & Performing Arts
Retail Trade,2020,5494,Visual & Performing Arts
Retail Trade,2020,1248,Visual & Performing Arts
Retail Trade,2020,4593,Visual & Performing Arts
Retail Trade,2020,8685,Visual & Performing Arts
Retail Trade,2020,3129,Visual & Performing Arts
Retail Trade,2020,7776,Visual & Performing Arts
Retail Trade,2020,11711,Visual & Performing Arts
Retail Trade,2020,2772,Visual & Performing Arts
