Job,Year,Amount,Major
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,7920,Visual & Performing Arts
Construction,2020,43473,Visual & Performing Arts
Manufacturing,2020,145447,Visual & Performing Arts
Wholesale Trade,2020,46868,Visual & Performing Arts
Retail Trade,2020,222818,Visual & Performing Arts
"Transportation & Warehousing, and Utilities",2020,48388,Visual & Performing Arts
Information,2020,132612,Visual & Performing Arts
"Finance & Insurance, and Real Estate, Rental & Leasing",2020,125637,Visual & Performing Arts
"Professional, Scientific & Management, and Administrative & Waste Management Services",2020,374424,Visual & Performing Arts
"Educational Services, Health Care & Social Assistance",2020,569497,Visual & Performing Arts
"Arts, Entertainment & Recreation and Accommodation & Food Services",2020,236845,Visual & Performing Arts
"Other Services, Except Public Administration",2020,103699,Visual & Performing Arts
Public Administration,2020,57774,Visual & Performing Arts
Active Duty Military,2020,6064,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2019,7209,Visual & Performing Arts
Construction,2019,41273,Visual & Performing Arts
Manufacturing,2019,139059,Visual & Performing Arts
Wholesale Trade,2019,45050,Visual & Performing Arts
Retail Trade,2019,218443,Visual & Performing Arts
"Transportation & Warehousing, and Utilities",2019,43218,Visual & Performing Arts
Information,2019,132713,Visual & Performing Arts
"Finance & Insurance, and Real Estate, Rental & Leasing",2019,118487,Visual & Performing Arts
"Professional, Scientific & Management, and Administrative & Waste Management Services",2019,358392,Visual & Performing Arts
"Educational Services, Health Care & Social Assistance",2019,550855,Visual & Performing Arts
"Arts, Entertainment & Recreation and Accommodation & Food Services",2019,236700,Visual & Performing Arts
"Other Services, Except Public Administration",2019,103155,Visual & Performing Arts
Public Administration,2019,54770,Visual & Performing Arts
Active Duty Military,2019,5734,Visual & Performing Arts
"Agriculture, Forestry, Fishing and Hunting, and Mining",2018,7733,Visual & Performing Arts
Construction,2018,38278,Visual & Performing Arts
Manufacturing,2018,134570,Visual & Performing Arts
Wholesale Trade,2018,43926,Visual & Performing Arts
Retail Trade,2018,213743,Visual & Performing Arts
"Transportation & Warehousing, and Utilities",2018,39980,Visual & Performing Arts
Information,2018,128762,Visual & Performing Arts
